Year,Quarter,Period,Allocation_Effect,Selection_Effect,Interaction_Effect,Total_Active_Return
2020,1,2020 Q1,-0.0045837718626496205,0.015336346349129117,0.004119161206945984,0.01487173569342548
2020,2,2020 Q2,-0.008714980383069934,0.03659482213770217,0.004579624442193969,0.0324594661968262
2020,3,2020 Q3,0.014436266190061312,-0.016964214126589074,-0.010330643720189324,-0.012858591656717086
2020,4,2020 Q4,0.008128283469855585,-0.0007419432518588956,-0.021414460639104783,-0.014028120421108094
2021,1,2021 Q1,-0.00934171184043029,0.010666095581269555,0.011196238245453967,0.012520621986293232
2021,2,2021 Q2,0.01557086706287982,0.03100302577488698,-0.015355395896880415,0.031218496940886385
2021,3,2021 Q3,-0.0033393913159348813,-0.002262815276540326,0.014594796618565657,0.008992590026090451
2021,4,2021 Q4,0.0070919033735002395,-0.0006815467546607487,-0.004664341123338404,0.0017460154955010864
2022,1,2022 Q1,0.007783815332719824,-0.002599789430883734,-0.004840790568901569,0.000343235332934521
2022,2,2022 Q2,-0.007408431035949934,0.003613089531487177,0.006404762498380852,0.002609420993918095
2022,3,2022 Q3,-0.0074012804455156,-0.01596144047878951,0.004421746018493413,-0.018940974905811696
2022,4,2022 Q4,-0.008655230769616405,0.010036508709281421,0.005873998255418336,0.007255276195083352
2023,1,2023 Q1,6.191450579190634e-05,-0.012602104831871576,-0.003170065546173,-0.01571025587225267
2023,2,2023 Q2,-0.008216860711762716,0.01376251875354256,0.00732484482782271,0.012870502869602554
2023,3,2023 Q3,0.008334057433570144,0.0133376314487406,-0.008985833744413299,0.012685855137897445
2023,4,2023 Q4,0.011536584092107787,-0.00971413467394461,-0.007492678767363757,-0.005670229349200579
2024,1,2024 Q1,-0.01330916718126208,-0.025703258201650203,0.016711866659536886,-0.022300558723375396
2024,2,2024 Q2,-0.010597845094324264,0.005558532316470524,0.011624179233968466,0.006584866456114727
2024,3,2024 Q3,0.0015487449774025312,-0.0026177054545189603,-0.013473833348610381,-0.01454279382572681
2024,4,2024 Q4,0.010908587620334817,0.00426224170189134,-0.01101013394231589,0.004160695379910267
